run_utc,dataset,rows_added,rows_total,conflicts
2026-08-10T08:58:01+00:00,orderbook,10,10,0
2026-08-11T06:08:17+00:00,orderbook,10,20,0
2026-08-11T06:59:53+00:00,orderbook,10,30,0
2026-08-11T07:54:29+00:00,orderbook,10,40,0
2026-08-11T08:31:12+00:00,orderbook,10,50,0
2026-08-11T09:15:40+00:00,orderbook,5,55,0
2026-08-12T06:47:18+00:00,orderbook,10,65,0
2026-08-12T07:18:32+00:00,orderbook,10,75,0
2026-08-12T08:04:07+00:00,orderbook,10,85,0
2026-08-12T08:48:06+00:00,orderbook,10,95,0
2026-08-13T06:50:52+00:00,orderbook,10,105,0
