totalQuantity,totalOrder,securityId,symbol,securityName,side,captured_utc
374036,22,142,KBL,Kumari Bank Limited,supply,2026-08-12T06:47:16+00:00
382568,7,142,KBL,Kumari Bank Limited,supply,2026-08-12T07:18:30+00:00
381369,6,142,KBL,Kumari Bank Limited,supply,2026-08-12T08:04:05+00:00
397382,10,142,KBL,Kumari Bank Limited,supply,2026-08-12T08:48:04+00:00
402215,13,142,KBL,Kumari Bank Limited,demand,2026-08-13T06:50:50+00:00
400777,8,204,GUFL,Gurkhas Finance Ltd.,demand,2026-08-11T06:08:15+00:00
687659,9,204,GUFL,Gurkhas Finance Ltd.,demand,2026-08-11T08:31:10+00:00
593426,7,204,GUFL,Gurkhas Finance Ltd.,demand,2026-08-13T08:04:54+00:00
999189,7,227,BFC,Best Finance Company Ltd.,demand,2026-08-11T06:59:51+00:00
893132,12,227,BFC,Best Finance Company Ltd.,demand,2026-08-11T07:54:27+00:00
894755,7,227,BFC,Best Finance Company Ltd.,demand,2026-08-11T08:31:10+00:00
747970,12,245,CFCL,Central Finance Co. Ltd.,demand,2026-08-10T08:57:59+00:00
1279317,18,245,CFCL,Central Finance Co. Ltd.,demand,2026-08-12T06:47:16+00:00
1275204,19,245,CFCL,Central Finance Co. Ltd.,demand,2026-08-12T07:18:30+00:00
1443967,9,245,CFCL,Central Finance Co. Ltd.,demand,2026-08-12T08:04:05+00:00
1086804,13,245,CFCL,Central Finance Co. Ltd.,demand,2026-08-12T08:48:04+00:00
433245,13,245,CFCL,Central Finance Co. Ltd.,demand,2026-08-18T07:24:16+00:00
390339,12,517,NBL,Nepal Bank Limited,demand,2026-08-17T05:53:56+00:00
457372,16,517,NBL,Nepal Bank Limited,demand,2026-08-17T06:44:44+00:00
221432,11,517,NBL,Nepal Bank Limited,supply,2026-08-17T06:44:44+00:00
507120,7,517,NBL,Nepal Bank Limited,demand,2026-08-17T07:39:14+00:00
521744,8,517,NBL,Nepal Bank Limited,demand,2026-08-17T08:07:37+00:00
521238,15,517,NBL,Nepal Bank Limited,demand,2026-08-17T09:02:32+00:00
306309,13,517,NBL,Nepal Bank Limited,supply,2026-08-17T09:02:32+00:00
813360,18,610,RIDI,Ridi Power Company Limited,supply,2026-08-10T08:57:59+00:00
682263,10,610,RIDI,Ridi Power Company Limited,supply,2026-08-11T06:08:15+00:00
744409,12,610,RIDI,Ridi Power Company Limited,supply,2026-08-11T06:59:51+00:00
870558,7,610,RIDI,Ridi Power Company Limited,supply,2026-08-11T07:54:27+00:00
803231,7,610,RIDI,Ridi Power Company Limited,supply,2026-08-11T08:31:10+00:00
353841,11,610,RIDI,Ridi Power Company Limited,supply,2026-08-13T06:50:50+00:00
370366,6,610,RIDI,Ridi Power Company Limited,supply,2026-08-13T07:20:31+00:00
392764,10,610,RIDI,Ridi Power Company Limited,supply,2026-08-13T08:04:54+00:00
389413,7,610,RIDI,Ridi Power Company Limited,supply,2026-08-13T08:51:42+00:00
308303,7,610,RIDI,Ridi Power Company Limited,demand,2026-08-17T05:53:56+00:00
374217,8,610,RIDI,Ridi Power Company Limited,demand,2026-08-17T06:44:44+00:00
320436,48,610,RIDI,Ridi Power Company Limited,demand,2026-08-18T06:35:46+00:00
667897,8,2743,NGPL,Ngadi Group Power Ltd.,demand,2026-08-11T07:54:27+00:00
696725,15,2743,NGPL,Ngadi Group Power Ltd.,demand,2026-08-11T08:31:10+00:00
948094,13,2751,KKHC,Khanikhola Hydropower Co. Ltd.,supply,2026-08-11T07:54:27+00:00
799489,13,2751,KKHC,Khanikhola Hydropower Co. Ltd.,demand,2026-08-12T08:04:05+00:00
918778,11,2751,KKHC,Khanikhola Hydropower Co. Ltd.,demand,2026-08-12T08:48:04+00:00
355551,7,2751,KKHC,Khanikhola Hydropower Co. Ltd.,supply,2026-08-13T08:04:54+00:00
357554,6,2751,KKHC,Khanikhola Hydropower Co. Ltd.,supply,2026-08-13T08:51:42+00:00
297705,5,2751,KKHC,Khanikhola Hydropower Co. Ltd.,supply,2026-08-14T06:48:01+00:00
309524,9,2751,KKHC,Khanikhola Hydropower Co. Ltd.,supply,2026-08-14T07:18:20+00:00
441636,12,2751,KKHC,Khanikhola Hydropower Co. Ltd.,supply,2026-08-14T08:02:08+00:00
463704,8,2751,KKHC,Khanikhola Hydropower Co. Ltd.,supply,2026-08-14T08:45:20+00:00
958503,9,2751,KKHC,Khanikhola Hydropower Co. Ltd.,demand,2026-08-17T05:53:56+00:00
645826,17,2751,KKHC,Khanikhola Hydropower Co. Ltd.,supply,2026-08-17T05:53:56+00:00
1136310,10,2751,KKHC,Khanikhola Hydropower Co. Ltd.,demand,2026-08-17T06:44:44+00:00
427866,9,2751,KKHC,Khanikhola Hydropower Co. Ltd.,demand,2026-08-17T07:39:14+00:00
622097,11,2751,KKHC,Khanikhola Hydropower Co. Ltd.,supply,2026-08-17T07:39:14+00:00
476458,11,2751,KKHC,Khanikhola Hydropower Co. Ltd.,demand,2026-08-17T08:07:37+00:00
273093,10,2751,KKHC,Khanikhola Hydropower Co. Ltd.,supply,2026-08-17T08:07:37+00:00
451532,5,2751,KKHC,Khanikhola Hydropower Co. Ltd.,demand,2026-08-17T09:02:32+00:00
204245,10,2751,KKHC,Khanikhola Hydropower Co. Ltd.,supply,2026-08-18T05:49:21+00:00
167192,5,2767,HPPL,Himalayan Power Partner Ltd.,supply,2026-08-18T05:49:21+00:00
206078,6,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,supply,2026-08-17T05:53:56+00:00
445970,7,2859,SIGS2,Siddhartha Investment Growth Scheme - 2,demand,2026-08-18T08:55:03+00:00
327616,9,2860,SAPDBL,Saptakoshi Development Bank Ltd,supply,2026-08-12T06:47:16+00:00
328071,9,2860,SAPDBL,Saptakoshi Development Bank Ltd,supply,2026-08-12T07:18:30+00:00
329245,9,2860,SAPDBL,Saptakoshi Development Bank Ltd,supply,2026-08-12T08:04:05+00:00
263500,7,2867,NMB50,NMB 50,demand,2026-08-18T05:49:21+00:00
241400,25,2867,NMB50,NMB 50,supply,2026-08-18T05:49:21+00:00
419248,44,2867,NMB50,NMB 50,supply,2026-08-18T06:35:46+00:00
274778,17,2880,HDHPC,Himal Dolakha Hydropower Company Limited,demand,2026-08-18T05:49:21+00:00
712651,7,2903,LEC,Liberty Energy Company Limited,demand,2026-08-13T06:50:50+00:00
689341,8,2903,LEC,Liberty Energy Company Limited,demand,2026-08-13T07:20:31+00:00
798594,7,2903,LEC,Liberty Energy Company Limited,demand,2026-08-13T08:04:54+00:00
781091,13,2903,LEC,Liberty Energy Company Limited,demand,2026-08-13T08:51:42+00:00
525688,7,2903,LEC,Liberty Energy Company Limited,demand,2026-08-14T06:48:01+00:00
660631,12,2903,LEC,Liberty Energy Company Limited,demand,2026-08-14T07:18:20+00:00
808715,5,2903,LEC,Liberty Energy Company Limited,demand,2026-08-14T08:02:08+00:00
789179,14,2903,LEC,Liberty Energy Company Limited,demand,2026-08-14T08:45:20+00:00
268105,18,2903,LEC,Liberty Energy Company Limited,supply,2026-08-14T08:45:20+00:00
352426,6,2903,LEC,Liberty Energy Company Limited,demand,2026-08-17T05:53:56+00:00
422773,10,2903,LEC,Liberty Energy Company Limited,demand,2026-08-17T07:39:14+00:00
425170,8,2903,LEC,Liberty Energy Company Limited,demand,2026-08-17T08:07:37+00:00
370956,7,2903,LEC,Liberty Energy Company Limited,demand,2026-08-17T09:02:32+00:00
320550,9,2933,KEF,Kumari Equity Fund,supply,2026-08-10T08:57:59+00:00
394298,5,2933,KEF,Kumari Equity Fund,demand,2026-08-18T08:03:47+00:00
259102,9,2933,KEF,Kumari Equity Fund,supply,2026-08-18T08:03:47+00:00
267602,8,2933,KEF,Kumari Equity Fund,supply,2026-08-18T08:55:03+00:00
50,1,7986,NICD88,NIC ASIA Rinpatra 2088,demand,2026-08-14T09:29:09+00:00
70,3,7986,NICD88,NIC ASIA Rinpatra 2088,supply,2026-08-14T09:29:09+00:00
150,1,8029,ADBLB86,Agricultural Bond (8 Year),supply,2026-08-14T09:29:09+00:00
270,4,8030,ADBLB87,Agricultural Bond (9 Year),demand,2026-08-14T09:29:09+00:00
936115,7,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-10T08:57:59+00:00
370039,7,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-11T06:08:15+00:00
374639,8,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-11T06:59:51+00:00
528369,7,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-11T07:54:27+00:00
573242,8,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-11T08:31:10+00:00
555865,6,8074,KDBY,Kumari Dhanabriddhi Yojana,demand,2026-08-12T07:18:30+00:00
331486,6,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-13T06:50:50+00:00
331486,6,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-13T07:20:31+00:00
348834,5,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-13T08:04:54+00:00
376434,7,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-13T08:51:42+00:00
550596,5,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-14T06:48:01+00:00
550596,5,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-14T07:18:20+00:00
500696,5,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-14T08:02:08+00:00
646526,6,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-14T08:45:20+00:00
294799,7,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-17T05:53:56+00:00
484574,5,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-17T06:44:44+00:00
484674,5,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-17T07:39:14+00:00
684874,5,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-17T08:07:37+00:00
866849,7,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-17T09:02:32+00:00
319210,8,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-18T05:49:21+00:00
337933,5,8074,KDBY,Kumari Dhanabriddhi Yojana,demand,2026-08-18T06:35:46+00:00
326210,7,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-18T06:35:46+00:00
639704,5,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-18T07:24:16+00:00
639904,6,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-18T08:03:47+00:00
630329,6,8074,KDBY,Kumari Dhanabriddhi Yojana,supply,2026-08-18T08:55:03+00:00
812450,5,8106,GIBF1,Global IME Balanced Fund-1,demand,2026-08-13T08:04:54+00:00
812950,5,8106,GIBF1,Global IME Balanced Fund-1,demand,2026-08-13T08:51:42+00:00
744300,8,8106,GIBF1,Global IME Balanced Fund-1,demand,2026-08-14T06:48:01+00:00
691730,6,8106,GIBF1,Global IME Balanced Fund-1,demand,2026-08-14T07:18:20+00:00
686730,5,8106,GIBF1,Global IME Balanced Fund-1,demand,2026-08-14T08:02:08+00:00
712130,5,8106,GIBF1,Global IME Balanced Fund-1,demand,2026-08-14T08:45:20+00:00
279217,3,8125,NSIF2,NMB Sulav Investment Fund - 2,supply,2026-08-11T06:08:15+00:00
497050,8,8125,NSIF2,NMB Sulav Investment Fund - 2,demand,2026-08-11T06:59:51+00:00
347892,5,8125,NSIF2,NMB Sulav Investment Fund - 2,supply,2026-08-11T08:31:10+00:00
526215,5,8125,NSIF2,NMB Sulav Investment Fund - 2,supply,2026-08-12T06:47:16+00:00
526215,5,8125,NSIF2,NMB Sulav Investment Fund - 2,supply,2026-08-12T07:18:30+00:00
514009,5,8125,NSIF2,NMB Sulav Investment Fund - 2,supply,2026-08-12T08:04:05+00:00
514109,6,8125,NSIF2,NMB Sulav Investment Fund - 2,supply,2026-08-12T08:48:04+00:00
253092,7,8125,NSIF2,NMB Sulav Investment Fund - 2,supply,2026-08-14T06:48:01+00:00
253092,7,8125,NSIF2,NMB Sulav Investment Fund - 2,supply,2026-08-14T07:18:20+00:00
253092,7,8125,NSIF2,NMB Sulav Investment Fund - 2,supply,2026-08-14T08:02:08+00:00
266700,5,8125,NSIF2,NMB Sulav Investment Fund - 2,demand,2026-08-18T05:49:21+00:00
395700,5,8125,NSIF2,NMB Sulav Investment Fund - 2,demand,2026-08-18T06:35:46+00:00
390700,5,8125,NSIF2,NMB Sulav Investment Fund - 2,demand,2026-08-18T07:24:16+00:00
465700,5,8125,NSIF2,NMB Sulav Investment Fund - 2,demand,2026-08-18T08:03:47+00:00
467200,5,8125,NSIF2,NMB Sulav Investment Fund - 2,demand,2026-08-18T08:55:03+00:00
40,3,9152,EBLEB89,"Everest Bank Limited Energy Bond, 2089",supply,2026-08-14T09:29:09+00:00
334350,7,9154,SFEF,Sunrise Focused Equity Fund,supply,2026-08-11T06:59:51+00:00
326101,7,9154,SFEF,Sunrise Focused Equity Fund,supply,2026-08-12T08:48:04+00:00
351001,8,9154,SFEF,Sunrise Focused Equity Fund,supply,2026-08-13T06:50:50+00:00
350601,8,9154,SFEF,Sunrise Focused Equity Fund,supply,2026-08-13T07:20:31+00:00
350701,8,9154,SFEF,Sunrise Focused Equity Fund,supply,2026-08-13T08:04:54+00:00
350901,9,9154,SFEF,Sunrise Focused Equity Fund,supply,2026-08-13T08:51:42+00:00
728755,5,9174,PRSF,Prabhu Smart Fund,demand,2026-08-10T08:57:59+00:00
628465,7,9174,PRSF,Prabhu Smart Fund,supply,2026-08-10T08:57:59+00:00
433955,5,9174,PRSF,Prabhu Smart Fund,demand,2026-08-11T06:08:15+00:00
639640,6,9174,PRSF,Prabhu Smart Fund,supply,2026-08-11T06:08:15+00:00
841040,7,9174,PRSF,Prabhu Smart Fund,supply,2026-08-11T06:59:51+00:00
819165,7,9174,PRSF,Prabhu Smart Fund,supply,2026-08-11T07:54:27+00:00
812665,7,9174,PRSF,Prabhu Smart Fund,supply,2026-08-11T08:31:10+00:00
533795,6,9174,PRSF,Prabhu Smart Fund,demand,2026-08-12T06:47:16+00:00
603065,8,9174,PRSF,Prabhu Smart Fund,supply,2026-08-12T06:47:16+00:00
533795,7,9174,PRSF,Prabhu Smart Fund,demand,2026-08-12T07:18:30+00:00
586965,8,9174,PRSF,Prabhu Smart Fund,supply,2026-08-12T07:18:30+00:00
543695,6,9174,PRSF,Prabhu Smart Fund,demand,2026-08-12T08:04:05+00:00
591965,6,9174,PRSF,Prabhu Smart Fund,supply,2026-08-12T08:04:05+00:00
612695,6,9174,PRSF,Prabhu Smart Fund,demand,2026-08-12T08:48:04+00:00
737965,6,9174,PRSF,Prabhu Smart Fund,supply,2026-08-12T08:48:04+00:00
346700,5,9174,PRSF,Prabhu Smart Fund,demand,2026-08-13T06:50:50+00:00
537640,5,9174,PRSF,Prabhu Smart Fund,supply,2026-08-13T06:50:50+00:00
537640,5,9174,PRSF,Prabhu Smart Fund,supply,2026-08-13T07:20:31+00:00
537940,5,9174,PRSF,Prabhu Smart Fund,supply,2026-08-13T08:04:54+00:00
551840,5,9174,PRSF,Prabhu Smart Fund,supply,2026-08-13T08:51:42+00:00
540840,6,9174,PRSF,Prabhu Smart Fund,supply,2026-08-14T06:48:01+00:00
540840,6,9174,PRSF,Prabhu Smart Fund,supply,2026-08-14T07:18:20+00:00
540840,6,9174,PRSF,Prabhu Smart Fund,supply,2026-08-14T08:02:08+00:00
590840,7,9174,PRSF,Prabhu Smart Fund,supply,2026-08-14T08:45:20+00:00
515440,4,9174,PRSF,Prabhu Smart Fund,supply,2026-08-17T05:53:56+00:00
615500,5,9174,PRSF,Prabhu Smart Fund,demand,2026-08-17T06:44:44+00:00
671740,7,9174,PRSF,Prabhu Smart Fund,supply,2026-08-17T06:44:44+00:00
615400,5,9174,PRSF,Prabhu Smart Fund,demand,2026-08-17T07:39:14+00:00
700640,6,9174,PRSF,Prabhu Smart Fund,supply,2026-08-17T07:39:14+00:00
629400,6,9174,PRSF,Prabhu Smart Fund,demand,2026-08-17T08:07:37+00:00
700640,5,9174,PRSF,Prabhu Smart Fund,supply,2026-08-17T08:07:37+00:00
627400,5,9174,PRSF,Prabhu Smart Fund,demand,2026-08-17T09:02:32+00:00
749720,10,9174,PRSF,Prabhu Smart Fund,supply,2026-08-17T09:02:32+00:00
258700,5,9174,PRSF,Prabhu Smart Fund,demand,2026-08-18T05:49:21+00:00
571129,5,9174,PRSF,Prabhu Smart Fund,demand,2026-08-18T06:35:46+00:00
617140,8,9174,PRSF,Prabhu Smart Fund,supply,2026-08-18T06:35:46+00:00
612529,5,9174,PRSF,Prabhu Smart Fund,demand,2026-08-18T07:24:16+00:00
826865,8,9174,PRSF,Prabhu Smart Fund,supply,2026-08-18T07:24:16+00:00
642549,6,9174,PRSF,Prabhu Smart Fund,demand,2026-08-18T08:03:47+00:00
901965,7,9174,PRSF,Prabhu Smart Fund,supply,2026-08-18T08:03:47+00:00
638549,6,9174,PRSF,Prabhu Smart Fund,demand,2026-08-18T08:55:03+00:00
934654,7,9174,PRSF,Prabhu Smart Fund,supply,2026-08-18T08:55:03+00:00
25,1,9180,NMBD89/90,NMB Debenture 10.75%-2089/90,demand,2026-08-11T09:15:38+00:00
25,1,9180,NMBD89/90,NMB Debenture 10.75%-2089/90,supply,2026-08-11T09:15:38+00:00
1498271,10,9182,SIGS3,Siddhartha Investment Growth Scheme 3,supply,2026-08-18T07:24:16+00:00
1428148,9,9182,SIGS3,Siddhartha Investment Growth Scheme 3,demand,2026-08-18T08:03:47+00:00
689615,8,9182,SIGS3,Siddhartha Investment Growth Scheme 3,supply,2026-08-18T08:03:47+00:00
1428688,10,9182,SIGS3,Siddhartha Investment Growth Scheme 3,demand,2026-08-18T08:55:03+00:00
710545,10,9182,SIGS3,Siddhartha Investment Growth Scheme 3,supply,2026-08-18T08:55:03+00:00
593920,8,9198,LVF2,Laxmi Value Fund 2,demand,2026-08-11T06:59:51+00:00
594520,8,9198,LVF2,Laxmi Value Fund 2,demand,2026-08-11T07:54:27+00:00
571920,6,9198,LVF2,Laxmi Value Fund 2,demand,2026-08-12T06:47:16+00:00
552920,6,9198,LVF2,Laxmi Value Fund 2,demand,2026-08-12T07:18:30+00:00
547941,7,9198,LVF2,Laxmi Value Fund 2,demand,2026-08-12T08:04:05+00:00
557741,8,9198,LVF2,Laxmi Value Fund 2,demand,2026-08-12T08:48:04+00:00
792481,6,9241,KSY,Kumari Sabal Yojana,demand,2026-08-10T08:57:59+00:00
1012452,10,9245,MNMF1,Muktinath Mutual Fund 1,demand,2026-08-10T08:57:59+00:00
620900,8,9245,MNMF1,Muktinath Mutual Fund 1,demand,2026-08-11T06:08:15+00:00
764890,9,9245,MNMF1,Muktinath Mutual Fund 1,demand,2026-08-11T06:59:51+00:00
633600,7,9245,MNMF1,Muktinath Mutual Fund 1,demand,2026-08-11T07:54:27+00:00
714150,7,9245,MNMF1,Muktinath Mutual Fund 1,demand,2026-08-11T08:31:10+00:00
539400,5,9245,MNMF1,Muktinath Mutual Fund 1,demand,2026-08-13T07:20:31+00:00
530900,7,9245,MNMF1,Muktinath Mutual Fund 1,demand,2026-08-13T08:51:42+00:00
641780,8,9245,MNMF1,Muktinath Mutual Fund 1,demand,2026-08-14T06:48:01+00:00
648780,8,9245,MNMF1,Muktinath Mutual Fund 1,demand,2026-08-14T07:18:20+00:00
655780,8,9245,MNMF1,Muktinath Mutual Fund 1,demand,2026-08-14T08:02:08+00:00
655780,8,9245,MNMF1,Muktinath Mutual Fund 1,demand,2026-08-14T08:45:20+00:00
513000,5,9245,MNMF1,Muktinath Mutual Fund 1,demand,2026-08-17T06:44:44+00:00
520200,6,9245,MNMF1,Muktinath Mutual Fund 1,demand,2026-08-17T07:39:14+00:00
530000,6,9245,MNMF1,Muktinath Mutual Fund 1,demand,2026-08-17T08:07:37+00:00
520200,6,9245,MNMF1,Muktinath Mutual Fund 1,demand,2026-08-17T09:02:32+00:00
514600,6,9248,GSY,Garima Samriddhi Yojana,demand,2026-08-14T06:48:01+00:00
514800,5,9248,GSY,Garima Samriddhi Yojana,demand,2026-08-14T07:18:20+00:00
539600,5,9248,GSY,Garima Samriddhi Yojana,demand,2026-08-14T08:02:08+00:00
539300,6,9248,GSY,Garima Samriddhi Yojana,demand,2026-08-14T08:45:20+00:00
295727,7,9254,NMBHF2,NMB Hybrid Fund L- II,supply,2026-08-17T06:44:44+00:00
319299,9,9254,NMBHF2,NMB Hybrid Fund L- II,supply,2026-08-17T07:39:14+00:00
296286,9,9254,NMBHF2,NMB Hybrid Fund L- II,supply,2026-08-17T08:07:37+00:00
291973,10,9254,NMBHF2,NMB Hybrid Fund L- II,supply,2026-08-17T09:02:32+00:00
620550,5,9254,NMBHF2,NMB Hybrid Fund L- II,demand,2026-08-18T07:24:16+00:00
620550,5,9254,NMBHF2,NMB Hybrid Fund L- II,demand,2026-08-18T08:03:47+00:00
590350,5,9254,NMBHF2,NMB Hybrid Fund L- II,demand,2026-08-18T08:55:03+00:00
368620,7,9257,MBLEF,MBL Equity Fund,demand,2026-08-11T06:08:15+00:00
523049,11,9257,MBLEF,MBL Equity Fund,demand,2026-08-12T06:47:16+00:00
1120300,7,9259,RSY,Reliable Samriddhi Yojana,demand,2026-08-10T08:57:59+00:00
718600,6,9259,RSY,Reliable Samriddhi Yojana,demand,2026-08-11T06:08:15+00:00
723520,6,9259,RSY,Reliable Samriddhi Yojana,demand,2026-08-11T06:59:51+00:00
713570,5,9259,RSY,Reliable Samriddhi Yojana,demand,2026-08-11T07:54:27+00:00
773320,6,9259,RSY,Reliable Samriddhi Yojana,demand,2026-08-11T08:31:10+00:00
711030,5,9259,RSY,Reliable Samriddhi Yojana,demand,2026-08-12T06:47:16+00:00
705642,5,9259,RSY,Reliable Samriddhi Yojana,demand,2026-08-12T07:18:30+00:00
718042,5,9259,RSY,Reliable Samriddhi Yojana,demand,2026-08-12T08:04:05+00:00
641742,5,9259,RSY,Reliable Samriddhi Yojana,demand,2026-08-12T08:48:04+00:00
560400,5,9259,RSY,Reliable Samriddhi Yojana,demand,2026-08-13T06:50:50+00:00
600600,6,9259,RSY,Reliable Samriddhi Yojana,demand,2026-08-13T07:20:31+00:00
335000,7,9259,RSY,Reliable Samriddhi Yojana,demand,2026-08-17T05:53:56+00:00
366985,5,9259,RSY,Reliable Samriddhi Yojana,demand,2026-08-18T07:24:16+00:00
598239,7,9269,GBIMESY2,Global IME Sammunat Yojana -2,demand,2026-08-13T06:50:50+00:00
628239,7,9269,GBIMESY2,Global IME Sammunat Yojana -2,demand,2026-08-13T07:20:31+00:00
629239,8,9269,GBIMESY2,Global IME Sammunat Yojana -2,demand,2026-08-13T08:04:54+00:00
629247,9,9269,GBIMESY2,Global IME Sammunat Yojana -2,demand,2026-08-13T08:51:42+00:00
226,3,9289,SBID2090,7% Nepal SBI Bank Debenture 2090,demand,2026-08-11T09:15:38+00:00
360760,6,9302,RBBF40,RBB Focus 40,supply,2026-08-10T08:57:59+00:00
374752,10,9302,RBBF40,RBB Focus 40,supply,2026-08-11T06:08:15+00:00
374952,11,9302,RBBF40,RBB Focus 40,supply,2026-08-11T06:59:51+00:00
373952,8,9302,RBBF40,RBB Focus 40,supply,2026-08-11T07:54:27+00:00
383852,8,9302,RBBF40,RBB Focus 40,supply,2026-08-11T08:31:10+00:00
1433603,20,9302,RBBF40,RBB Focus 40,supply,2026-08-12T06:47:16+00:00
1392103,16,9302,RBBF40,RBB Focus 40,supply,2026-08-12T07:18:30+00:00
1391903,19,9302,RBBF40,RBB Focus 40,supply,2026-08-12T08:04:05+00:00
1391903,19,9302,RBBF40,RBB Focus 40,supply,2026-08-12T08:48:04+00:00
320499,7,9302,RBBF40,RBB Focus 40,supply,2026-08-13T06:50:50+00:00
729900,6,9302,RBBF40,RBB Focus 40,demand,2026-08-13T07:20:31+00:00
313399,5,9302,RBBF40,RBB Focus 40,supply,2026-08-13T07:20:31+00:00
767900,6,9302,RBBF40,RBB Focus 40,demand,2026-08-13T08:04:54+00:00
785251,6,9302,RBBF40,RBB Focus 40,demand,2026-08-13T08:51:42+00:00
764400,8,9302,RBBF40,RBB Focus 40,demand,2026-08-14T06:48:01+00:00
316405,6,9302,RBBF40,RBB Focus 40,supply,2026-08-14T06:48:01+00:00
765300,7,9302,RBBF40,RBB Focus 40,demand,2026-08-14T07:18:20+00:00
316505,7,9302,RBBF40,RBB Focus 40,supply,2026-08-14T07:18:20+00:00
